"condition","id","description","scene","url"
"full-layout/seedsents-random","full-layout/seedsents-random-0","There is a desk and a chair.","seedsents-random1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s0/seedsents-random1-s0-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-0","There is a desk and a chair.","seedsents-rulebased5.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s0/seedsents-rulebased5-s0-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-0","There is a desk and a chair.","seedsents-maxent-rb1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s0/seedsents-maxent-rb1-s0-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-0","There is a desk and a chair.","seedsents-maxent1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s0/seedsents-maxent1-s0-00000-2.jpg"
"human","human-0","There is a desk and a chair.","desc2scene-4101","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4101/desc2scene-4101-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-1","There is a desk and a computer.","seedsents-random1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s1/seedsents-random1-s1-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-1","There is a desk and a computer.","seedsents-rulebased5.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s1/seedsents-rulebased5-s1-00000-2.jpg"
"full-layout/seedsents-combo-trained","full-layout/seedsents-combo-trained-1","There is a desk and a computer.","seedsents-maxent-rb1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-trained/s1/seedsents-maxent-rb1-s1-00000-2.jpg"
"full-layout/seedsents-combo-predefined","full-layout/seedsents-combo-predefined-1","There is a desk and a computer.","seedsents-maxent1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-combo-predefined/s1/seedsents-maxent1-s1-00000-2.jpg"
"human","human-1","There is a desk and a computer.","desc2scene-4220","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4220/desc2scene-4220-2.jpg"
