"condition","id","description","scene","url"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-0","There is a desk and a chair.","seedsents-maxent1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s0/seedsents-maxent1-s0-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-0","There is a desk and a chair.","seedsents-maxent-rb1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s0/seedsents-maxent-rb1-s0-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-0","There is a desk and a chair.","seedsents-random1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s0/seedsents-random1-s0-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-0","There is a desk and a chair.","seedsents-random-rb1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s0/seedsents-random-rb1-s0-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-0","There is a desk and a chair.","seedsents-rulebased5.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s0/seedsents-rulebased5-s0-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-0","There is a desk and a chair.","seedsents-sempre1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s0/seedsents-sempre1-s0-00000-2.jpg"
"human","human-0","There is a desk and a chair.","desc2scene-4101","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4101/desc2scene-4101-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-1","There is a desk and a computer.","seedsents-maxent1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s1/seedsents-maxent1-s1-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-1","There is a desk and a computer.","seedsents-maxent-rb1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s1/seedsents-maxent-rb1-s1-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-1","There is a desk and a computer.","seedsents-random1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s1/seedsents-random1-s1-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-1","There is a desk and a computer.","seedsents-random-rb1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s1/seedsents-random-rb1-s1-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-1","There is a desk and a computer.","seedsents-rulebased5.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s1/seedsents-rulebased5-s1-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-1","There is a desk and a computer.","seedsents-sempre1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s1/seedsents-sempre1-s1-00000-2.jpg"
"human","human-1","There is a desk and a computer.","desc2scene-4220","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4220/desc2scene-4220-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-2","There is a desk and a laptop.","seedsents-maxent1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s2/seedsents-maxent1-s2-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-2","There is a desk and a laptop.","seedsents-maxent-rb1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s2/seedsents-maxent-rb1-s2-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-2","There is a desk and a laptop.","seedsents-random1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s2/seedsents-random1-s2-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-2","There is a desk and a laptop.","seedsents-random-rb1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s2/seedsents-random-rb1-s2-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-2","There is a desk and a laptop.","seedsents-rulebased5.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s2/seedsents-rulebased5-s2-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-2","There is a desk and a laptop.","seedsents-sempre1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s2/seedsents-sempre1-s2-00000-2.jpg"
"human","human-2","There is a desk and a laptop.","desc2scene-2702","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2702/desc2scene-2702-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-3","There is a desk and a lamp.","seedsents-maxent1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s3/seedsents-maxent1-s3-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-3","There is a desk and a lamp.","seedsents-maxent-rb1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s3/seedsents-maxent-rb1-s3-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-3","There is a desk and a lamp.","seedsents-random1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s3/seedsents-random1-s3-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-3","There is a desk and a lamp.","seedsents-random-rb1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s3/seedsents-random-rb1-s3-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-3","There is a desk and a lamp.","seedsents-rulebased5.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s3/seedsents-rulebased5-s3-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-3","There is a desk and a lamp.","seedsents-sempre1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s3/seedsents-sempre1-s3-00000-2.jpg"
"human","human-3","There is a desk and a lamp.","desc2scene-4153","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4153/desc2scene-4153-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-4","There is a desk and a poster.","seedsents-maxent1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s4/seedsents-maxent1-s4-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-4","There is a desk and a poster.","seedsents-maxent-rb1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s4/seedsents-maxent-rb1-s4-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-4","There is a desk and a poster.","seedsents-random1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s4/seedsents-random1-s4-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-4","There is a desk and a poster.","seedsents-random-rb1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s4/seedsents-random-rb1-s4-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-4","There is a desk and a poster.","seedsents-rulebased5.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s4/seedsents-rulebased5-s4-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-4","There is a desk and a poster.","seedsents-sempre1.s4-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s4/seedsents-sempre1-s4-00000-2.jpg"
"human","human-4","There is a desk and a poster.","desc2scene-4187","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4187/desc2scene-4187-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-5","There is a desk and a notepad.","seedsents-maxent1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s5/seedsents-maxent1-s5-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-5","There is a desk and a notepad.","seedsents-maxent-rb1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s5/seedsents-maxent-rb1-s5-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-5","There is a desk and a notepad.","seedsents-random1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s5/seedsents-random1-s5-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-5","There is a desk and a notepad.","seedsents-random-rb1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s5/seedsents-random-rb1-s5-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-5","There is a desk and a notepad.","seedsents-rulebased5.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s5/seedsents-rulebased5-s5-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-5","There is a desk and a notepad.","seedsents-sempre1.s5-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s5/seedsents-sempre1-s5-00000-2.jpg"
"human","human-5","There is a desk and a notepad.","desc2scene-4148","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4148/desc2scene-4148-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-6","There is a desk and a keyboard and a monitor.","seedsents-maxent1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s6/seedsents-maxent1-s6-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-6","There is a desk and a keyboard and a monitor.","seedsents-maxent-rb1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s6/seedsents-maxent-rb1-s6-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-6","There is a desk and a keyboard and a monitor.","seedsents-random1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s6/seedsents-random1-s6-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-6","There is a desk and a keyboard and a monitor.","seedsents-random-rb1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s6/seedsents-random-rb1-s6-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-6","There is a desk and a keyboard and a monitor.","seedsents-rulebased5.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s6/seedsents-rulebased5-s6-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-6","There is a desk and a keyboard and a monitor.","seedsents-sempre1.s6-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s6/seedsents-sempre1-s6-00000-2.jpg"
"human","human-6","There is a desk and a keyboard and a monitor.","desc2scene-4133","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4133/desc2scene-4133-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-7","There is a desk and a monitor and a mouse.","seedsents-maxent1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s7/seedsents-maxent1-s7-00000-2.jpg"
"full-layout/seedsents-maxent-rb","full-layout/seedsents-maxent-rb-7","There is a desk and a monitor and a mouse.","seedsents-maxent-rb1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent-rb/s7/seedsents-maxent-rb1-s7-00000-2.jpg"
"full-layout/seedsents-random","full-layout/seedsents-random-7","There is a desk and a monitor and a mouse.","seedsents-random1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random/s7/seedsents-random1-s7-00000-2.jpg"
"full-layout/seedsents-random-rb","full-layout/seedsents-random-rb-7","There is a desk and a monitor and a mouse.","seedsents-random-rb1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-random-rb/s7/seedsents-random-rb1-s7-00000-2.jpg"
"full-layout/seedsents-rulebased","full-layout/seedsents-rulebased-7","There is a desk and a monitor and a mouse.","seedsents-rulebased5.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-rulebased/s7/seedsents-rulebased5-s7-00000-2.jpg"
"full-layout/seedsents-sempre","full-layout/seedsents-sempre-7","There is a desk and a monitor and a mouse.","seedsents-sempre1.s7-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-sempre/s7/seedsents-sempre1-s7-00000-2.jpg"
"human","human-7","There is a desk and a monitor and a mouse.","desc2scene-2609","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2609/desc2scene-2609-2.jpg"
"full-layout/seedsents-maxent","full-layout/seedsents-maxent-8","There is a desk and a monitor and a keyboard and a mouse.","seedsents-maxent1.s8-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/seedsents-maxent/s8/seedsents-maxent1-s8-00000-2.jpg"
