"condition","id","description","scene","url"
"basic","basic-0","There is a desk and a chair.","seedsents-rulebased-basic1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-basic/s0/seedsents-rulebased-basic1-s0-00000-2.jpg"
"full","full-0","There is a desk and a chair.","seedsents-rulebased-full1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-full/s0/seedsents-rulebased-full1-s0-00000-2.jpg"
"nopriors","nopriors-0","There is a desk and a chair.","seedsents-rulebased-nopriors1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nopriors/s0/seedsents-rulebased-nopriors1-s0-00000-2.jpg"
"nospatial","nospatial-0","There is a desk and a chair.","seedsents-rulebased-nospatial1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nospatial/s0/seedsents-rulebased-nospatial1-s0-00000-2.jpg"
"relative","relative-0","There is a desk and a chair.","seedsents-rulebased-relative1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-relative/s0/seedsents-rulebased-relative1-s0-00000-2.jpg"
"support","support-0","There is a desk and a chair.","seedsents-rulebased-support1.s0-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-support/s0/seedsents-rulebased-support1-s0-00000-2.jpg"
"human","human-0","There is a desk and a chair.","desc2scene-4101","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4101/desc2scene-4101-2.jpg"
"basic","basic-1","There is a desk and a computer.","seedsents-rulebased-basic1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-basic/s1/seedsents-rulebased-basic1-s1-00000-2.jpg"
"full","full-1","There is a desk and a computer.","seedsents-rulebased-full1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-full/s1/seedsents-rulebased-full1-s1-00000-2.jpg"
"nopriors","nopriors-1","There is a desk and a computer.","seedsents-rulebased-nopriors1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nopriors/s1/seedsents-rulebased-nopriors1-s1-00000-2.jpg"
"nospatial","nospatial-1","There is a desk and a computer.","seedsents-rulebased-nospatial1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nospatial/s1/seedsents-rulebased-nospatial1-s1-00000-2.jpg"
"relative","relative-1","There is a desk and a computer.","seedsents-rulebased-relative1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-relative/s1/seedsents-rulebased-relative1-s1-00000-2.jpg"
"support","support-1","There is a desk and a computer.","seedsents-rulebased-support1.s1-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-support/s1/seedsents-rulebased-support1-s1-00000-2.jpg"
"human","human-1","There is a desk and a computer.","desc2scene-4220","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-4220/desc2scene-4220-2.jpg"
"basic","basic-2","There is a desk and a laptop.","seedsents-rulebased-basic1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-basic/s2/seedsents-rulebased-basic1-s2-00000-2.jpg"
"full","full-2","There is a desk and a laptop.","seedsents-rulebased-full1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-full/s2/seedsents-rulebased-full1-s2-00000-2.jpg"
"nopriors","nopriors-2","There is a desk and a laptop.","seedsents-rulebased-nopriors1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nopriors/s2/seedsents-rulebased-nopriors1-s2-00000-2.jpg"
"nospatial","nospatial-2","There is a desk and a laptop.","seedsents-rulebased-nospatial1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nospatial/s2/seedsents-rulebased-nospatial1-s2-00000-2.jpg"
"relative","relative-2","There is a desk and a laptop.","seedsents-rulebased-relative1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-relative/s2/seedsents-rulebased-relative1-s2-00000-2.jpg"
"support","support-2","There is a desk and a laptop.","seedsents-rulebased-support1.s2-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-support/s2/seedsents-rulebased-support1-s2-00000-2.jpg"
"human","human-2","There is a desk and a laptop.","desc2scene-2702","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2702/desc2scene-2702-2.jpg"
"basic","basic-3","There is a desk and a lamp.","seedsents-rulebased-basic1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-basic/s3/seedsents-rulebased-basic1-s3-00000-2.jpg"
"full","full-3","There is a desk and a lamp.","seedsents-rulebased-full1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-full/s3/seedsents-rulebased-full1-s3-00000-2.jpg"
"nopriors","nopriors-3","There is a desk and a lamp.","seedsents-rulebased-nopriors1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nopriors/s3/seedsents-rulebased-nopriors1-s3-00000-2.jpg"
"nospatial","nospatial-3","There is a desk and a lamp.","seedsents-rulebased-nospatial1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-nospatial/s3/seedsents-rulebased-nospatial1-s3-00000-2.jpg"
"relative","relative-3","There is a desk and a lamp.","seedsents-rulebased-relative1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-relative/s3/seedsents-rulebased-relative1-s3-00000-2.jpg"
"support","support-3","There is a desk and a lamp.","seedsents-rulebased-support1.s3-00000","https://dovahkiin.stanford.edu/text2scene/eval/eval-layout/seedsents-rulebased-support/s3/seedsents-rulebased-support1-s3-00000-2.jpg"
