"condition","id","description","scene","url"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-rulebased5.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s513/mturk-dev-rulebased5-s513-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-random1.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s513/mturk-dev-random1-s513-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-maxent2.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s513/mturk-dev-maxent2-s513-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-sempre103.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s513/mturk-dev-sempre103-s513-00000-2.jpg"
"human","human-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","desc2scene-872","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-872/desc2scene-872-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-rulebased5.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s260/mturk-dev-rulebased5-s260-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-random1.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s260/mturk-dev-random1-s260-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-maxent2.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s260/mturk-dev-maxent2-s260-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-sempre103.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s260/mturk-dev-sempre103-s260-00000-2.jpg"
"human","human-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","desc2scene-2688","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2688/desc2scene-2688-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-308","There is a round yellow table in the middle of the room.","mturk-dev-rulebased5.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s308/mturk-dev-rulebased5-s308-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-308","There is a round yellow table in the middle of the room.","mturk-dev-random1.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s308/mturk-dev-random1-s308-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-308","There is a round yellow table in the middle of the room.","mturk-dev-maxent2.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s308/mturk-dev-maxent2-s308-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-308","There is a round yellow table in the middle of the room.","mturk-dev-sempre103.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s308/mturk-dev-sempre103-s308-00000-2.jpg"
"human","human-308","There is a round yellow table in the middle of the room.","desc2scene-2431","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2431/desc2scene-2431-2.jpg"
"simple-layout/mturk-dev-rulebased","simple-layout/mturk-dev-rulebased-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-rulebased5.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-rulebased/s263/mturk-dev-rulebased5-s263-00000-2.jpg"
"simple-layout/mturk-dev-random","simple-layout/mturk-dev-random-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-random1.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-random/s263/mturk-dev-random1-s263-00000-2.jpg"
"simple-layout/mturk-dev-maxent","simple-layout/mturk-dev-maxent-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-maxent2.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-maxent/s263/mturk-dev-maxent2-s263-00000-2.jpg"
"simple-layout/mturk-dev-sempre","simple-layout/mturk-dev-sempre-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-sempre103.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/simple-layout/mturk-dev-sempre/s263/mturk-dev-sempre103-s263-00000-2.jpg"
