"condition","id","description","scene","url"
"full-layout/mturk-dev-random","full-layout/mturk-dev-random-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-random2.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-random/s513/mturk-dev-random2-s513-00000-2.jpg"
"full-layout/mturk-dev-combo-predefined","full-layout/mturk-dev-combo-predefined-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-maxent-rb3.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-predefined/s513/mturk-dev-maxent-rb3-s513-00000-2.jpg"
"full-layout/mturk-dev-combo-trained","full-layout/mturk-dev-combo-trained-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","mturk-dev-maxent-rb7.s513-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-trained/s513/mturk-dev-maxent-rb7-s513-00000-2.jpg"
"human","human-513","""L"" shaped room with red sofa with two pillows on it and a vace next to it. There is one window above the sofa.","desc2scene-872","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-872/desc2scene-872-2.jpg"
"full-layout/mturk-dev-random","full-layout/mturk-dev-random-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-random2.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-random/s260/mturk-dev-random2-s260-00000-2.jpg"
"full-layout/mturk-dev-combo-predefined","full-layout/mturk-dev-combo-predefined-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-maxent-rb3.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-predefined/s260/mturk-dev-maxent-rb3-s260-00000-2.jpg"
"full-layout/mturk-dev-combo-trained","full-layout/mturk-dev-combo-trained-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","mturk-dev-maxent-rb7.s260-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-trained/s260/mturk-dev-maxent-rb7-s260-00000-2.jpg"
"human","human-260","there is a window on the wall opposite the door. on the brown floor, in the center of the room, there is a desk with a laptop on it.","desc2scene-2688","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2688/desc2scene-2688-2.jpg"
"full-layout/mturk-dev-random","full-layout/mturk-dev-random-308","There is a round yellow table in the middle of the room.","mturk-dev-random2.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-random/s308/mturk-dev-random2-s308-00000-2.jpg"
"full-layout/mturk-dev-combo-predefined","full-layout/mturk-dev-combo-predefined-308","There is a round yellow table in the middle of the room.","mturk-dev-maxent-rb3.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-predefined/s308/mturk-dev-maxent-rb3-s308-00000-2.jpg"
"full-layout/mturk-dev-combo-trained","full-layout/mturk-dev-combo-trained-308","There is a round yellow table in the middle of the room.","mturk-dev-maxent-rb7.s308-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-trained/s308/mturk-dev-maxent-rb7-s308-00000-2.jpg"
"human","human-308","There is a round yellow table in the middle of the room.","desc2scene-2431","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2431/desc2scene-2431-2.jpg"
"full-layout/mturk-dev-random","full-layout/mturk-dev-random-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-random2.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-random/s263/mturk-dev-random2-s263-00000-2.jpg"
"full-layout/mturk-dev-combo-predefined","full-layout/mturk-dev-combo-predefined-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-maxent-rb3.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-predefined/s263/mturk-dev-maxent-rb3-s263-00000-2.jpg"
"full-layout/mturk-dev-combo-trained","full-layout/mturk-dev-combo-trained-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","mturk-dev-maxent-rb7.s263-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-combo-trained/s263/mturk-dev-maxent-rb7-s263-00000-2.jpg"
"human","human-263","there is a l shaped black couch  at the corner of the room and there is a round tea table in  front of it.","desc2scene-2409","https://dovahkiin.stanford.edu/text2scene/screenshots/scenes/mturk/desc2scene-2409/desc2scene-2409-2.jpg"
"full-layout/mturk-dev-random","full-layout/mturk-dev-random-522","A room with a computer desk and an open window","mturk-dev-random2.s522-00000","https://dovahkiin.stanford.edu/text2scene/eval/full-layout/mturk-dev-random/s522/mturk-dev-random2-s522-00000-2.jpg"
