id	description	minObjects
1	There is a desk and a chair.	2
2	There is a desk and a computer.	2
3	There is a desk and a laptop.	2
4	There is a desk and a lamp.	2
5	There is a desk and a poster.	2
6	There is a desk and a notepad.	2
7	There is a desk and a keyboard and a monitor.	3
8	There is a desk and a monitor and a mouse.	3
9	There is a desk and a monitor and a keyboard and a mouse.	4
10	There is a desk and there is a notepad on the desk. There is a pen next to the notepad.	4
11	There is a desk and there is a notepad on the desk. There is a pen on the notepad.	3
12	There is a desk and there is a stapler on the desk. There is a notepad to the left of the stapler.	3
13	There is a desk and there is a stapler on the desk. There is a keyboard to the right of the stapler.	3
14	There is a table and a chair.	2
15	There is a table and there is a plate on the table.	2
16	There is a table and there are two plates on the table.	3
17	There is a table and there is a plate. There is a sandwich on the plate.	3
18	There is a table and there is a sandwich.	2
19	There is a table and there is a lamp.	2
20	There is a table and there is a chair to the left of the table.	2
21	There is a table and there is a chair to the right of the table.	2
22	There is a table and there is a lamp on the table.	2
23	There is a table and there are two chairs.	3
24	There is a table and there are four chairs.	5
25	There is a table and there are four chairs.  There are four plates and there are four sandwiches.	13
26	There is a table and there is a chair to the left of the table.  There is a chair to the right of the table.	3
27	There is a table and there is a chair in front of the table. There is a chair behind the table.	3
28	There is a table and there is a chair to the left of the table.  There is a chair to the right of the table. There is a chair in front of the table. There is a chair behind the table.	5
29	There is a bed next to the wall.	1
30	There is a bed and there is a laptop on the bed.	2
31	There is a bed and there is a pillow on the bed.	2
32	There is a bed and there is a nightstand next to the bed.	2
33	There is a bed and there is a nightstand next to the bed. There is a floor lamp next to the nightstand.	3
34	There is a bed and there is a nightstand next to the bed. There is a floor lamp next to the bed.	3
35	There is a bed and there is a nightstand next to the bed. There is a lamp on the nightstand.	3
36	There is a bed and there is a chair next to the bed.	2
37	There is a coffee table.	1
38	There is a coffee table and there is a vase on the coffee table.	2
39	There is a coffee table and there is a couch behind the coffee table.	2
40	There is a coffee table and there is a couch behind the coffee table. There is a vase.	3
41	There is a coffee table and there is a couch behind the coffee table. There is a vase on the coffee table.	3
42	There is a coffee table and there is a couch.  There is a chair next to the coffee table.	3
43	There is a couch. There is a vase.	2
44	There is a couch. There is a coffee table and there is a plant.	3
45	There is a couch. There is a coffee table and there is a plant on the coffee table.	3
46	There is a couch and there is a pillow on the couch.  There is a chair next to the couch.	3
47	There is a lamp and there is a chair next to the lamp. There is a coffee table next to the chair.	3
48	There is a coffee table and there is a lamp behind the coffee table. There is a chair in front of the coffee table.	3
49	There is a desk and there is a lamp next to the desk.  There is a chair in front of the desk.	3
50	There is a desk and there is a lamp next to the desk.  There is a chair in front of the desk.  There is a trash bin next to the desk.	4
